location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
7936,Los Angeles - N. Mai,co,0.4,ppm,2024-04-02T18:00:00+00:00,2024-04-02T11:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.4,ppm,2024-04-02T19:00:00+00:00,2024-04-02T12:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.3,ppm,2024-04-02T20:00:00+00:00,2024-04-02T13:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.3,ppm,2024-04-02T21:00:00+00:00,2024-04-02T14:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.2,ppm,2024-04-02T22:00:00+00:00,2024-04-02T15:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.2,ppm,2024-04-02T23:00:00+00:00,2024-04-02T16:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.2,ppm,2024-04-03T00:00:00+00:00,2024-04-02T17:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.2,ppm,2024-04-03T01:00:00+00:00,2024-04-02T18:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.3,ppm,2024-04-03T02:00:00+00:00,2024-04-02T19:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.3,ppm,2024-04-03T03:00:00+00:00,2024-04-02T20:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.3,ppm,2024-04-03T04:00:00+00:00,2024-04-02T21:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.5,ppm,2024-04-03T05:00:00+00:00,2024-04-02T22:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
7936,Los Angeles - N. Mai,co,0.5,ppm,2024-04-03T06:00:00+00:00,2024-04-02T23:00:00-07:00,America/Los_Angeles,34.066429,-118.226755,,,,Unknown Governmental Organization,AirNow
