,location_name,datetimeUtc,O3,pm25,No2,unit,AQI_O3,AQI_PM25,AQI_NO2,AQI
690,Sofienbergparken,2024-04-06 07:00:00+00:00,48.0,1.9,4.1,µg/m³,21.0,8.0,4.0,21.0
691,Sofienbergparken,2024-04-06 08:00:00+00:00,47.0,-0.28,6.7,µg/m³,20.0,,6.0,20.0
692,Sofienbergparken,2024-04-06 09:00:00+00:00,47.0,2.9,8.2,µg/m³,20.0,12.0,8.0,20.0
693,Sofienbergparken,2024-04-06 10:00:00+00:00,47.0,5.6,8.3,µg/m³,20.0,23.0,8.0,23.0
694,Sofienbergparken,2024-04-06 11:00:00+00:00,45.0,4.0,9.9,µg/m³,19.0,17.0,9.0,19.0
695,Sofienbergparken,2024-04-06 12:00:00+00:00,47.0,2.4,5.5,µg/m³,20.0,10.0,5.0,20.0
696,Sofienbergparken,2024-04-06 13:00:00+00:00,46.0,2.2,3.7,µg/m³,20.0,9.0,3.0,20.0
697,Sofienbergparken,2024-04-06 14:00:00+00:00,46.0,3.2,5.2,µg/m³,20.0,13.0,5.0,20.0
698,Sofienbergparken,2024-04-06 15:00:00+00:00,46.0,1.2,4.9,µg/m³,20.0,5.0,5.0,20.0
699,Sofienbergparken,2024-04-06 16:00:00+00:00,42.0,3.2,5.5,µg/m³,18.0,13.0,5.0,18.0
700,Sofienbergparken,2024-04-06 17:00:00+00:00,39.0,2.3,6.9,µg/m³,17.0,10.0,7.0,17.0
701,Sofienbergparken,2024-04-06 18:00:00+00:00,35.0,2.7,7.9,µg/m³,15.0,11.0,7.0,15.0
702,Sofienbergparken,2024-04-06 19:00:00+00:00,27.0,5.3,13.0,µg/m³,12.0,22.0,12.0,22.0
703,Sofienbergparken,2024-04-06 20:00:00+00:00,26.0,12.0,13.0,µg/m³,11.0,50.0,12.0,50.0
704,Sofienbergparken,2024-04-06 21:00:00+00:00,28.0,4.5,11.0,µg/m³,12.0,19.0,10.0,19.0
705,Sofienbergparken,2024-04-06 22:00:00+00:00,31.0,0.65,8.6,µg/m³,13.0,3.0,8.0,13.0
706,Sofienbergparken,2024-04-06 23:00:00+00:00,39.0,-4.4,4.9,µg/m³,17.0,,5.0,17.0
707,Sofienbergparken,2024-04-07 00:00:00+00:00,36.0,0.98,6.1,µg/m³,16.0,4.0,6.0,16.0
708,Sofienbergparken,2024-04-07 01:00:00+00:00,31.0,7.6,8.5,µg/m³,13.0,32.0,8.0,32.0
709,Sofienbergparken,2024-04-07 02:00:00+00:00,31.0,6.8,6.4,µg/m³,13.0,28.0,6.0,28.0
710,Sofienbergparken,2024-04-07 03:00:00+00:00,30.0,6.2,7.1,µg/m³,13.0,26.0,7.0,26.0
711,Sofienbergparken,2024-04-07 04:00:00+00:00,28.0,0.63,8.8,µg/m³,12.0,3.0,8.0,12.0
712,Sofienbergparken,2024-04-07 05:00:00+00:00,38.0,6.1,7.0,µg/m³,16.0,25.0,7.0,25.0
713,Sofienbergparken,2024-04-07 06:00:00+00:00,40.0,4.8,6.4,µg/m³,17.0,20.0,6.0,20.0
714,Sofienbergparken,2024-04-07 07:00:00+00:00,47.0,5.3,5.7,µg/m³,20.0,22.0,5.0,22.0
715,Sofienbergparken,2024-04-07 08:00:00+00:00,50.0,13.0,6.3,µg/m³,22.0,53.0,6.0,53.0
716,Sofienbergparken,2024-04-07 09:00:00+00:00,58.0,11.0,9.1,µg/m³,25.0,46.0,9.0,46.0
717,Sofienbergparken,2024-04-07 10:00:00+00:00,80.0,2.8,6.2,µg/m³,35.0,12.0,6.0,35.0
718,Sofienbergparken,2024-04-07 11:00:00+00:00,87.0,11.0,4.4,µg/m³,38.0,46.0,4.0,46.0
719,Sofienbergparken,2024-04-07 12:00:00+00:00,88.0,8.5,3.3,µg/m³,38.0,35.0,3.0,38.0
720,Sofienbergparken,2024-04-07 13:00:00+00:00,87.0,14.0,3.6,µg/m³,38.0,55.0,3.0,55.0
721,Sofienbergparken,2024-04-07 14:00:00+00:00,90.0,8.3,3.4,µg/m³,39.0,35.0,3.0,39.0
722,Sofienbergparken,2024-04-07 15:00:00+00:00,91.0,13.0,4.6,µg/m³,39.0,53.0,4.0,53.0
723,Sofienbergparken,2024-04-07 16:00:00+00:00,90.0,14.0,3.8,µg/m³,39.0,55.0,4.0,55.0
724,Sofienbergparken,2024-04-07 17:00:00+00:00,89.0,16.0,5.9,µg/m³,39.0,59.0,6.0,59.0
725,Sofienbergparken,2024-04-07 18:00:00+00:00,92.0,12.0,3.5,µg/m³,40.0,50.0,3.0,50.0
726,Sofienbergparken,2024-04-07 19:00:00+00:00,90.0,12.0,4.4,µg/m³,39.0,50.0,4.0,50.0
727,Sofienbergparken,2024-04-07 20:00:00+00:00,88.0,12.0,4.2,µg/m³,38.0,50.0,4.0,50.0
728,Sofienbergparken,2024-04-07 21:00:00+00:00,86.0,10.0,4.9,µg/m³,37.0,42.0,5.0,42.0
729,Sofienbergparken,2024-04-07 22:00:00+00:00,83.0,8.7,6.4,µg/m³,36.0,36.0,6.0,36.0
730,Sofienbergparken,2024-04-07 23:00:00+00:00,85.0,9.3,4.7,µg/m³,37.0,39.0,4.0,39.0
731,Sofienbergparken,2024-04-08 00:00:00+00:00,86.0,11.0,3.6,µg/m³,37.0,46.0,3.0,46.0
732,Sofienbergparken,2024-04-08 01:00:00+00:00,82.0,10.0,6.0,µg/m³,35.0,42.0,6.0,42.0
733,Sofienbergparken,2024-04-08 02:00:00+00:00,79.0,4.7,6.7,µg/m³,34.0,20.0,6.0,34.0
734,Sofienbergparken,2024-04-08 03:00:00+00:00,84.0,6.5,4.8,µg/m³,36.0,27.0,5.0,36.0
735,Sofienbergparken,2024-04-08 04:00:00+00:00,85.0,4.4,4.6,µg/m³,37.0,18.0,4.0,37.0
736,Sofienbergparken,2024-04-08 05:00:00+00:00,78.0,3.8,10.0,µg/m³,34.0,16.0,9.0,34.0
737,Sofienbergparken,2024-04-08 06:00:00+00:00,75.0,2.4,11.0,µg/m³,32.0,10.0,10.0,32.0
738,Sofienbergparken,2024-04-08 07:00:00+00:00,74.0,6.3,11.0,µg/m³,32.0,26.0,10.0,32.0
739,Sofienbergparken,2024-04-08 08:00:00+00:00,71.0,5.0,14.0,µg/m³,31.0,21.0,13.0,31.0
740,Sofienbergparken,2024-04-08 09:00:00+00:00,74.0,9.1,12.0,µg/m³,32.0,38.0,11.0,38.0
741,Sofienbergparken,2024-04-08 10:00:00+00:00,71.0,9.7,14.0,µg/m³,31.0,40.0,13.0,40.0
742,Sofienbergparken,2024-04-08 11:00:00+00:00,80.0,13.0,9.0,µg/m³,35.0,53.0,8.0,53.0
743,Sofienbergparken,2024-04-08 12:00:00+00:00,87.0,14.0,5.3,µg/m³,38.0,55.0,5.0,55.0
744,Sofienbergparken,2024-04-08 13:00:00+00:00,84.0,17.0,9.3,µg/m³,36.0,61.0,9.0,61.0
745,Sofienbergparken,2024-04-08 14:00:00+00:00,83.0,14.0,9.4,µg/m³,36.0,55.0,9.0,55.0
746,Sofienbergparken,2024-04-08 15:00:00+00:00,81.0,12.0,11.0,µg/m³,35.0,50.0,10.0,50.0
747,Sofienbergparken,2024-04-08 16:00:00+00:00,76.0,15.0,14.0,µg/m³,33.0,57.0,13.0,57.0
748,Sofienbergparken,2024-04-08 17:00:00+00:00,76.0,9.2,10.0,µg/m³,33.0,38.0,9.0,38.0
749,Sofienbergparken,2024-04-08 18:00:00+00:00,79.0,7.8,7.0,µg/m³,34.0,32.0,7.0,34.0
750,Sofienbergparken,2024-04-08 19:00:00+00:00,71.0,13.0,11.0,µg/m³,31.0,53.0,10.0,53.0
751,Sofienbergparken,2024-04-08 20:00:00+00:00,65.0,12.0,13.0,µg/m³,28.0,50.0,12.0,50.0
752,Sofienbergparken,2024-04-08 21:00:00+00:00,66.0,6.4,11.0,µg/m³,29.0,27.0,10.0,29.0
753,Sofienbergparken,2024-04-08 22:00:00+00:00,66.0,15.0,9.0,µg/m³,29.0,57.0,8.0,57.0
754,Sofienbergparken,2024-04-09 03:00:00+00:00,68.0,11.0,3.5,µg/m³,29.0,46.0,3.0,46.0
755,Sofienbergparken,2024-04-09 07:00:00+00:00,40.0,9.2,19.0,µg/m³,17.0,38.0,18.0,38.0
756,Sofienbergparken,2024-04-09 09:00:00+00:00,55.0,7.0,16.0,µg/m³,24.0,29.0,15.0,29.0
757,Sofienbergparken,2024-04-09 10:00:00+00:00,44.0,-1.0,15.0,µg/m³,19.0,,14.0,19.0
758,Sofienbergparken,2024-04-09 20:00:00+00:00,62.0,15.0,16.0,µg/m³,27.0,57.0,15.0,57.0
759,Sofienbergparken,2024-04-09 21:00:00+00:00,59.0,9.3,10.0,µg/m³,26.0,39.0,9.0,39.0
760,Sofienbergparken,2024-04-09 22:00:00+00:00,59.0,9.3,10.0,µg/m³,26.0,39.0,9.0,39.0
761,Sofienbergparken,2024-04-09 23:00:00+00:00,59.0,-1.0,0.0,µg/m³,26.0,,0.0,26.0
762,Sofienbergparken,2024-04-10 00:00:00+00:00,59.0,-1.0,0.0,µg/m³,26.0,,0.0,26.0
763,Sofienbergparken,2024-04-10 01:00:00+00:00,59.0,-1.0,0.0,µg/m³,26.0,,0.0,26.0
764,Sofienbergparken,2024-04-10 02:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
765,Sofienbergparken,2024-04-10 03:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
766,Sofienbergparken,2024-04-10 04:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
767,Sofienbergparken,2024-04-10 05:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
768,Sofienbergparken,2024-04-10 06:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
769,Sofienbergparken,2024-04-10 07:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
770,Sofienbergparken,2024-04-10 08:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
771,Sofienbergparken,2024-04-10 09:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
772,Sofienbergparken,2024-04-10 10:00:00+00:00,-1.0,-1.0,-1.0,µg/m³,,,,
773,Sofienbergparken,2024-04-10 11:00:00+00:00,60.0,-1.0,4.7,µg/m³,26.0,,4.0,26.0
774,Sofienbergparken,2024-04-10 12:00:00+00:00,85.0,-1.0,3.7,µg/m³,37.0,,3.0,37.0
775,Sofienbergparken,2024-04-10 13:00:00+00:00,91.0,6.5,2.5,µg/m³,39.0,27.0,2.0,39.0
776,Sofienbergparken,2024-04-10 14:00:00+00:00,93.0,9.4,2.0,µg/m³,40.0,39.0,2.0,40.0
777,Sofienbergparken,2024-04-10 15:00:00+00:00,91.0,5.4,2.2,µg/m³,39.0,23.0,2.0,39.0
778,Sofienbergparken,2024-04-10 16:00:00+00:00,90.0,0.016,2.0,µg/m³,39.0,0.0,2.0,39.0
779,Sofienbergparken,2024-04-10 17:00:00+00:00,90.0,3.0,2.0,µg/m³,39.0,12.0,2.0,39.0
780,Sofienbergparken,2024-04-10 18:00:00+00:00,90.0,-2.8,2.6,µg/m³,39.0,,2.0,39.0
781,Sofienbergparken,2024-04-10 19:00:00+00:00,88.0,2.2,3.5,µg/m³,38.0,9.0,3.0,38.0
782,Sofienbergparken,2024-04-10 20:00:00+00:00,86.0,1.5,3.2,µg/m³,37.0,6.0,3.0,37.0
783,Sofienbergparken,2024-04-10 21:00:00+00:00,85.0,1.8,3.3,µg/m³,37.0,8.0,3.0,37.0
784,Sofienbergparken,2024-04-10 22:00:00+00:00,85.0,-1.3,2.8,µg/m³,37.0,,3.0,37.0
785,Sofienbergparken,2024-04-10 23:00:00+00:00,85.0,-0.89,2.6,µg/m³,37.0,,2.0,37.0
786,Sofienbergparken,2024-04-11 00:00:00+00:00,85.0,-0.4,2.2,µg/m³,37.0,,2.0,37.0
787,Sofienbergparken,2024-04-11 01:00:00+00:00,84.0,5.0,2.8,µg/m³,36.0,21.0,3.0,36.0
788,Sofienbergparken,2024-04-11 02:00:00+00:00,88.0,-0.44,0.89,µg/m³,38.0,,1.0,38.0
789,Sofienbergparken,2024-04-11 03:00:00+00:00,78.0,3.7,4.3,µg/m³,34.0,15.0,4.0,34.0
790,Sofienbergparken,2024-04-11 04:00:00+00:00,75.0,-0.68,1.8,µg/m³,32.0,,2.0,32.0
791,Sofienbergparken,2024-04-11 05:00:00+00:00,67.0,2.8,6.3,µg/m³,29.0,12.0,6.0,29.0
792,Sofienbergparken,2024-04-11 06:00:00+00:00,72.0,-0.4,6.6,µg/m³,31.0,,6.0,31.0
793,Sofienbergparken,2024-04-11 07:00:00+00:00,68.0,2.1,10.0,µg/m³,29.0,9.0,9.0,29.0
794,Sofienbergparken,2024-04-11 08:00:00+00:00,170.0,-2.0,8.5,µg/m³,131.0,,8.0,131.0
795,Sofienbergparken,2024-04-11 09:00:00+00:00,67.0,3.6,11.0,µg/m³,29.0,15.0,10.0,29.0
796,Sofienbergparken,2024-04-11 10:00:00+00:00,65.0,0.73,11.0,µg/m³,28.0,3.0,10.0,28.0
797,Sofienbergparken,2024-04-11 11:00:00+00:00,64.0,2.1,11.0,µg/m³,28.0,9.0,10.0,28.0
798,Sofienbergparken,2024-04-11 12:00:00+00:00,66.0,2.3,5.6,µg/m³,29.0,10.0,5.0,29.0
799,Sofienbergparken,2024-04-11 13:00:00+00:00,62.0,6.7,8.1,µg/m³,27.0,28.0,8.0,28.0
800,Sofienbergparken,2024-04-11 14:00:00+00:00,64.0,4.3,8.3,µg/m³,28.0,18.0,8.0,28.0
801,Sofienbergparken,2024-04-11 15:00:00+00:00,72.0,15.0,8.8,µg/m³,31.0,57.0,8.0,57.0
802,Sofienbergparken,2024-04-11 16:00:00+00:00,83.0,10.0,7.3,µg/m³,36.0,42.0,7.0,42.0
803,Sofienbergparken,2024-04-11 17:00:00+00:00,84.0,7.7,6.1,µg/m³,36.0,32.0,6.0,36.0
804,Sofienbergparken,2024-04-11 18:00:00+00:00,88.0,2.9,4.2,µg/m³,38.0,12.0,4.0,38.0
805,Sofienbergparken,2024-04-11 19:00:00+00:00,87.0,6.0,4.5,µg/m³,38.0,25.0,4.0,38.0
806,Sofienbergparken,2024-04-11 20:00:00+00:00,96.0,3.8,3.4,µg/m³,42.0,16.0,3.0,42.0
807,Sofienbergparken,2024-04-11 21:00:00+00:00,94.0,6.9,3.8,µg/m³,41.0,29.0,4.0,41.0
808,Sofienbergparken,2024-04-11 22:00:00+00:00,92.0,5.0,4.3,µg/m³,40.0,21.0,4.0,40.0
809,Sofienbergparken,2024-04-11 23:00:00+00:00,97.0,7.8,2.2,µg/m³,42.0,32.0,2.0,42.0
810,Sofienbergparken,2024-04-12 00:00:00+00:00,82.0,9.5,5.2,µg/m³,35.0,40.0,5.0,40.0
811,Sofienbergparken,2024-04-12 01:00:00+00:00,68.0,5.6,6.7,µg/m³,29.0,23.0,6.0,29.0
812,Sofienbergparken,2024-04-12 02:00:00+00:00,57.0,9.8,7.8,µg/m³,25.0,41.0,7.0,41.0
813,Sofienbergparken,2024-04-12 03:00:00+00:00,49.0,-0.85,7.2,µg/m³,21.0,,7.0,21.0
814,Sofienbergparken,2024-04-12 04:00:00+00:00,42.0,2.0,8.2,µg/m³,18.0,8.0,8.0,18.0
815,Sofienbergparken,2024-04-12 05:00:00+00:00,32.0,3.0,13.0,µg/m³,14.0,12.0,12.0,14.0
816,Sofienbergparken,2024-04-12 06:00:00+00:00,46.0,5.8,19.0,µg/m³,20.0,24.0,18.0,24.0
817,Sofienbergparken,2024-04-12 07:00:00+00:00,54.0,-0.4,17.0,µg/m³,23.0,,16.0,23.0
818,Sofienbergparken,2024-04-12 08:00:00+00:00,47.0,-1.1,28.0,µg/m³,20.0,,26.0,26.0
819,Sofienbergparken,2024-04-12 09:00:00+00:00,54.0,9.5,26.0,µg/m³,23.0,40.0,25.0,40.0
820,Sofienbergparken,2024-04-12 10:00:00+00:00,58.0,11.0,24.0,µg/m³,25.0,46.0,23.0,46.0
821,Sofienbergparken,2024-04-12 11:00:00+00:00,71.0,9.7,8.6,µg/m³,31.0,40.0,8.0,40.0
822,Sofienbergparken,2024-04-12 12:00:00+00:00,73.0,9.4,5.6,µg/m³,32.0,39.0,5.0,39.0
823,Sofienbergparken,2024-04-12 13:00:00+00:00,72.0,1.5,5.0,µg/m³,31.0,6.0,5.0,31.0
824,Sofienbergparken,2024-04-12 14:00:00+00:00,62.0,6.2,14.0,µg/m³,27.0,26.0,13.0,27.0
825,Sofienbergparken,2024-04-12 15:00:00+00:00,65.0,10.0,10.0,µg/m³,28.0,42.0,9.0,42.0
826,Sofienbergparken,2024-04-12 16:00:00+00:00,62.0,7.8,12.0,µg/m³,27.0,32.0,11.0,32.0
827,Sofienbergparken,2024-04-12 17:00:00+00:00,50.0,9.1,22.0,µg/m³,22.0,38.0,21.0,38.0
828,Sofienbergparken,2024-04-12 18:00:00+00:00,59.0,8.4,9.3,µg/m³,26.0,35.0,9.0,35.0
829,Sofienbergparken,2024-04-12 19:00:00+00:00,54.0,8.6,10.0,µg/m³,23.0,36.0,9.0,36.0
830,Sofienbergparken,2024-04-12 20:00:00+00:00,51.0,9.2,9.8,µg/m³,22.0,38.0,9.0,38.0
831,Sofienbergparken,2024-04-12 21:00:00+00:00,50.0,0.73,9.4,µg/m³,22.0,3.0,9.0,22.0
832,Sofienbergparken,2024-04-12 22:00:00+00:00,48.0,2.5,7.7,µg/m³,21.0,10.0,7.0,21.0
833,Sofienbergparken,2024-04-12 23:00:00+00:00,48.0,6.4,6.8,µg/m³,21.0,27.0,6.0,27.0
834,Sofienbergparken,2024-04-13 00:00:00+00:00,48.0,7.5,5.8,µg/m³,21.0,31.0,5.0,31.0
835,Sofienbergparken,2024-04-13 01:00:00+00:00,51.0,6.9,5.8,µg/m³,22.0,29.0,5.0,29.0
836,Sofienbergparken,2024-04-13 02:00:00+00:00,49.0,7.8,4.5,µg/m³,21.0,32.0,4.0,32.0
837,Sofienbergparken,2024-04-13 03:00:00+00:00,49.0,5.4,3.6,µg/m³,21.0,23.0,3.0,23.0
838,Sofienbergparken,2024-04-13 04:00:00+00:00,52.0,4.4,2.7,µg/m³,22.0,18.0,3.0,22.0
839,Sofienbergparken,2024-04-13 05:00:00+00:00,52.0,4.0,2.9,µg/m³,22.0,17.0,3.0,22.0
840,Sofienbergparken,2024-04-13 06:00:00+00:00,48.0,-1.6,5.6,µg/m³,21.0,,5.0,21.0
841,Sofienbergparken,2024-04-13 07:00:00+00:00,46.0,6.8,6.2,µg/m³,20.0,28.0,6.0,28.0
842,Sofienbergparken,2024-04-13 08:00:00+00:00,44.0,1.2,10.0,µg/m³,19.0,5.0,9.0,19.0
843,Sofienbergparken,2024-04-13 09:00:00+00:00,46.0,6.8,12.0,µg/m³,20.0,28.0,11.0,28.0
844,Sofienbergparken,2024-04-13 10:00:00+00:00,56.0,6.3,7.5,µg/m³,24.0,26.0,7.0,26.0
845,Sofienbergparken,2024-04-13 11:00:00+00:00,72.0,11.0,5.6,µg/m³,31.0,46.0,5.0,46.0
846,Sofienbergparken,2024-04-13 12:00:00+00:00,88.0,12.0,2.3,µg/m³,38.0,50.0,2.0,50.0
847,Sofienbergparken,2024-04-13 13:00:00+00:00,83.0,9.9,4.0,µg/m³,36.0,41.0,4.0,41.0
848,Sofienbergparken,2024-04-13 14:00:00+00:00,77.0,8.9,12.0,µg/m³,33.0,37.0,11.0,37.0
849,Sofienbergparken,2024-04-13 15:00:00+00:00,82.0,7.4,7.5,µg/m³,35.0,31.0,7.0,35.0
850,Sofienbergparken,2024-04-13 16:00:00+00:00,84.0,8.7,3.6,µg/m³,36.0,36.0,3.0,36.0
851,Sofienbergparken,2024-04-13 17:00:00+00:00,79.0,15.0,8.7,µg/m³,34.0,57.0,8.0,57.0
852,Sofienbergparken,2024-04-13 18:00:00+00:00,84.0,11.0,3.6,µg/m³,36.0,46.0,3.0,46.0
853,Sofienbergparken,2024-04-13 19:00:00+00:00,85.0,4.4,2.7,µg/m³,37.0,18.0,3.0,37.0
854,Sofienbergparken,2024-04-13 20:00:00+00:00,77.0,7.0,7.1,µg/m³,33.0,29.0,7.0,33.0
855,Sofienbergparken,2024-04-13 21:00:00+00:00,77.0,4.1,4.8,µg/m³,33.0,17.0,5.0,33.0
856,Sofienbergparken,2024-04-13 22:00:00+00:00,79.0,7.5,4.0,µg/m³,34.0,31.0,4.0,34.0
857,Sofienbergparken,2024-04-13 23:00:00+00:00,79.0,4.4,3.7,µg/m³,34.0,18.0,3.0,34.0
858,Sofienbergparken,2024-04-14 00:00:00+00:00,82.0,1.8,2.3,µg/m³,35.0,8.0,2.0,35.0
859,Sofienbergparken,2024-04-14 01:00:00+00:00,76.0,1.1,2.3,µg/m³,33.0,5.0,2.0,33.0
860,Sofienbergparken,2024-04-14 02:00:00+00:00,66.0,1.5,5.0,µg/m³,29.0,6.0,5.0,29.0
861,Sofienbergparken,2024-04-14 03:00:00+00:00,65.0,2.9,3.7,µg/m³,28.0,12.0,3.0,28.0
862,Sofienbergparken,2024-04-14 04:00:00+00:00,80.0,3.9,1.1,µg/m³,35.0,16.0,1.0,35.0
863,Sofienbergparken,2024-04-14 05:00:00+00:00,83.0,0.17,0.71,µg/m³,36.0,1.0,1.0,36.0
864,Sofienbergparken,2024-04-14 06:00:00+00:00,83.0,-2.9,3.9,µg/m³,36.0,,4.0,36.0
865,Sofienbergparken,2024-04-14 07:00:00+00:00,88.0,-1.0,1.3,µg/m³,38.0,,1.0,38.0
866,Sofienbergparken,2024-04-14 08:00:00+00:00,94.0,-0.68,0.43,µg/m³,41.0,,0.0,41.0
867,Sofienbergparken,2024-04-14 09:00:00+00:00,91.0,-2.2,0.63,µg/m³,39.0,,1.0,39.0
868,Sofienbergparken,2024-04-14 10:00:00+00:00,87.0,-2.5,0.74,µg/m³,38.0,,1.0,38.0
869,Sofienbergparken,2024-04-14 11:00:00+00:00,86.0,-0.46,1.1,µg/m³,37.0,,1.0,37.0
870,Sofienbergparken,2024-04-14 12:00:00+00:00,87.0,0.63,1.4,µg/m³,38.0,3.0,1.0,38.0
871,Sofienbergparken,2024-04-14 13:00:00+00:00,92.0,1.2,1.2,µg/m³,40.0,5.0,1.0,40.0
872,Sofienbergparken,2024-04-14 14:00:00+00:00,91.0,-3.6,0.91,µg/m³,39.0,,1.0,39.0
873,Sofienbergparken,2024-04-14 15:00:00+00:00,90.0,3.4,1.2,µg/m³,39.0,14.0,1.0,39.0
874,Sofienbergparken,2024-04-14 16:00:00+00:00,90.0,1.6,0.79,µg/m³,39.0,7.0,1.0,39.0
875,Sofienbergparken,2024-04-14 17:00:00+00:00,91.0,7.9,1.2,µg/m³,39.0,33.0,1.0,39.0
876,Sofienbergparken,2024-04-14 18:00:00+00:00,90.0,3.3,1.8,µg/m³,39.0,14.0,2.0,39.0
877,Sofienbergparken,2024-04-14 19:00:00+00:00,86.0,3.3,2.8,µg/m³,37.0,14.0,3.0,37.0
878,Sofienbergparken,2024-04-14 20:00:00+00:00,80.0,0.8,4.1,µg/m³,35.0,3.0,4.0,35.0
879,Sofienbergparken,2024-04-14 21:00:00+00:00,79.0,0.18,3.9,µg/m³,34.0,1.0,4.0,34.0
880,Sofienbergparken,2024-04-14 22:00:00+00:00,63.0,4.3,13.0,µg/m³,27.0,18.0,12.0,27.0
881,Sofienbergparken,2024-04-14 23:00:00+00:00,55.0,1.5,11.0,µg/m³,24.0,6.0,10.0,24.0
882,Sofienbergparken,2024-04-15 00:00:00+00:00,60.0,0.74,2.7,µg/m³,26.0,3.0,3.0,26.0
883,Sofienbergparken,2024-04-15 01:00:00+00:00,61.0,3.4,1.8,µg/m³,26.0,14.0,2.0,26.0
884,Sofienbergparken,2024-04-15 02:00:00+00:00,57.0,2.6,4.2,µg/m³,25.0,11.0,4.0,25.0
885,Sofienbergparken,2024-04-15 03:00:00+00:00,58.0,2.3,1.8,µg/m³,25.0,10.0,2.0,25.0
886,Sofienbergparken,2024-04-15 04:00:00+00:00,54.0,2.7,4.0,µg/m³,23.0,11.0,4.0,23.0
887,Sofienbergparken,2024-04-15 05:00:00+00:00,42.0,-0.17,12.0,µg/m³,18.0,,11.0,18.0
888,Sofienbergparken,2024-04-15 06:00:00+00:00,34.0,3.5,25.0,µg/m³,15.0,15.0,24.0,24.0
889,Sofienbergparken,2024-04-15 07:00:00+00:00,45.0,2.8,27.0,µg/m³,19.0,12.0,25.0,25.0
890,Sofienbergparken,2024-04-15 08:00:00+00:00,56.0,-1.4,24.0,µg/m³,24.0,,23.0,24.0
891,Sofienbergparken,2024-04-15 09:00:00+00:00,73.0,0.9,11.0,µg/m³,32.0,4.0,10.0,32.0
892,Sofienbergparken,2024-04-15 10:00:00+00:00,74.0,1.6,11.0,µg/m³,32.0,7.0,10.0,32.0
893,Sofienbergparken,2024-04-15 11:00:00+00:00,81.0,0.38,5.4,µg/m³,35.0,2.0,5.0,35.0
894,Sofienbergparken,2024-04-15 12:00:00+00:00,89.0,-1.2,2.1,µg/m³,39.0,,2.0,39.0
895,Sofienbergparken,2024-04-15 13:00:00+00:00,92.0,3.1,2.8,µg/m³,40.0,13.0,3.0,40.0
896,Sofienbergparken,2024-04-15 14:00:00+00:00,91.0,0.87,3.3,µg/m³,39.0,4.0,3.0,39.0
897,Sofienbergparken,2024-04-15 15:00:00+00:00,90.0,1.5,4.9,µg/m³,39.0,6.0,5.0,39.0
898,Sofienbergparken,2024-04-15 16:00:00+00:00,89.0,2.9,5.7,µg/m³,39.0,12.0,5.0,39.0
899,Sofienbergparken,2024-04-15 17:00:00+00:00,89.0,1.4,4.9,µg/m³,39.0,6.0,5.0,39.0
900,Sofienbergparken,2024-04-15 18:00:00+00:00,87.0,-1.5,5.1,µg/m³,38.0,,5.0,38.0
901,Sofienbergparken,2024-04-15 19:00:00+00:00,82.0,1.4,9.1,µg/m³,35.0,6.0,9.0,35.0
902,Sofienbergparken,2024-04-15 20:00:00+00:00,78.0,2.3,8.3,µg/m³,34.0,10.0,8.0,34.0
903,Sofienbergparken,2024-04-15 21:00:00+00:00,64.0,4.1,8.0,µg/m³,28.0,17.0,8.0,28.0
904,Sofienbergparken,2024-04-15 22:00:00+00:00,65.0,3.2,5.8,µg/m³,28.0,13.0,5.0,28.0
905,Sofienbergparken,2024-04-15 23:00:00+00:00,66.0,1.6,3.7,µg/m³,29.0,7.0,3.0,29.0
906,Sofienbergparken,2024-04-16 00:00:00+00:00,63.0,5.1,3.2,µg/m³,27.0,21.0,3.0,27.0
907,Sofienbergparken,2024-04-16 01:00:00+00:00,70.0,-2.5,1.8,µg/m³,30.0,,2.0,30.0
908,Sofienbergparken,2024-04-16 02:00:00+00:00,74.0,1.3,1.3,µg/m³,32.0,5.0,1.0,32.0
909,Sofienbergparken,2024-04-16 03:00:00+00:00,75.0,-1.1,2.3,µg/m³,32.0,,2.0,32.0
910,Sofienbergparken,2024-04-16 04:00:00+00:00,77.0,1.0,3.4,µg/m³,33.0,4.0,3.0,33.0
911,Sofienbergparken,2024-04-16 05:00:00+00:00,76.0,1.6,5.3,µg/m³,33.0,7.0,5.0,33.0
912,Sofienbergparken,2024-04-16 06:00:00+00:00,76.0,2.7,10.0,µg/m³,33.0,11.0,9.0,33.0
913,Sofienbergparken,2024-04-16 07:00:00+00:00,77.0,0.84,11.0,µg/m³,33.0,4.0,10.0,33.0
914,Sofienbergparken,2024-04-16 08:00:00+00:00,81.0,2.8,5.7,µg/m³,35.0,12.0,5.0,35.0
915,Sofienbergparken,2024-04-16 09:00:00+00:00,78.0,2.5,8.0,µg/m³,34.0,10.0,8.0,34.0
916,Sofienbergparken,2024-04-16 10:00:00+00:00,87.0,2.4,3.9,µg/m³,38.0,10.0,4.0,38.0
