location_name,datetimeUtc,pm25,O3,unit,AQI_O3,AQI_PM25,AQI,Co,No2,AQI_NO2,AQI_CO
Beijing,2024-03-01 01:00:00+00:00,11.0,64.78527607361963,µg/m³,28.0,46.0,46.0,,,,
Beijing,2024-03-01 02:00:00+00:00,15.0,74.60122699386503,µg/m³,32.0,57.0,57.0,,,,
Beijing,2024-03-01 03:00:00+00:00,16.0,72.63803680981594,µg/m³,31.0,59.0,59.0,,,,
Beijing,2024-03-01 04:00:00+00:00,16.0,70.67484662576686,µg/m³,31.0,59.0,59.0,,,,
Beijing,2024-03-01 05:00:00+00:00,15.0,70.67484662576686,µg/m³,31.0,57.0,57.0,,,,
Beijing,2024-03-01 06:00:00+00:00,19.0,74.60122699386503,µg/m³,32.0,66.0,66.0,,,,
Beijing,2024-03-01 07:00:00+00:00,24.0,74.60122699386503,µg/m³,32.0,76.0,76.0,,,,
Beijing,2024-03-01 08:00:00+00:00,19.0,74.60122699386503,µg/m³,32.0,66.0,66.0,,,,
Beijing,2024-03-01 09:00:00+00:00,16.0,72.63803680981594,µg/m³,31.0,59.0,59.0,,,,
Beijing,2024-03-01 10:00:00+00:00,24.0,68.7116564417178,µg/m³,30.0,76.0,76.0,,,,
Beijing,2024-03-01 11:00:00+00:00,28.0,66.74846625766872,µg/m³,29.0,84.0,84.0,,,,
Beijing,2024-03-01 12:00:00+00:00,29.0,58.8957055214724,µg/m³,25.0,87.0,87.0,,,,
Beijing,2024-03-01 13:00:00+00:00,29.0,56.932515337423325,µg/m³,25.0,87.0,87.0,,,,
Beijing,2024-03-01 14:00:00+00:00,33.0,37.30061349693251,µg/m³,16.0,95.0,95.0,,,,
Beijing,2024-03-01 15:00:00+00:00,35.0,35.33742331288343,µg/m³,15.0,99.0,99.0,,,,
Beijing,2024-03-01 16:00:00+00:00,38.0,41.22699386503068,µg/m³,18.0,107.0,107.0,,,,
Beijing,2024-03-01 17:00:00+00:00,35.0,39.2638036809816,µg/m³,17.0,99.0,99.0,,,,
Beijing,2024-03-01 18:00:00+00:00,41.0,41.22699386503068,µg/m³,18.0,115.0,115.0,,,,
Beijing,2024-03-01 19:00:00+00:00,41.0,43.19018404907976,µg/m³,19.0,115.0,115.0,,,,
